customer_id,snapshot_date,age,duration_since_signup,source_of_income,avg_txn_amount,txn_volatility,txn_frequency,three_months_trend,churn_label
1,2021-01-01,42,30,business,2741.12,925.8813088799952,3.6666666666666665,10964.48,not churned
1,2021-02-01,42,61,business,4031.95,,,4031.95,not churned
1,2021-03-01,42,89,business,2010.065,1443.183727198308,17.0,4020.13,not churned
1,2021-04-01,42,120,business,1687.286,1476.6900798508807,3.75,8436.43,not churned
1,2021-05-01,42,150,business,1980.155,1956.5149660684938,21.0,3960.31,not churned
1,2021-06-01,42,181,business,1887.3433333333335,1166.9690806672359,8.5,5662.03,not churned
1,2021-07-01,42,211,business,3204.1200000000003,1554.494479662118,4.5,9612.36,not churned
1,2021-08-01,42,242,business,2658.693333333333,1150.8747176966456,7.5,7976.08,not churned
1,2021-09-01,42,273,business,4372.57,,,4372.57,not churned
1,2021-10-01,42,303,business,2862.7200000000003,1684.0256225040046,5.5,14313.600000000002,not churned
1,2021-11-01,43,334,business,3442.365,1110.0940068525726,13.0,6884.73,not churned
1,2021-12-01,43,364,business,0.0,0.0,,0.0,churned
1,2022-01-01,43,395,business,3003.935,2189.817777453183,10.0,6007.87,not churned
1,2022-02-01,43,426,business,3397.1675,1296.1286790380807,4.0,13588.67,not churned
1,2022-03-01,43,454,business,4210.24,,,4210.24,not churned
1,2022-04-01,43,485,business,0.0,0.0,,0.0,churned
1,2022-05-01,43,515,business,2625.205,1019.7457641490844,6.333333333333333,10500.82,not churned
1,2022-06-01,43,546,business,2623.6133333333332,1310.0058744270323,9.5,7870.84,not churned
1,2022-07-01,43,576,business,1987.8759999999997,1672.1733723002526,3.75,9939.379999999997,not churned
1,2022-08-01,43,607,business,1472.05,1567.8820080605556,14.0,2944.1,not churned
1,2022-09-01,43,638,business,3010.5575000000003,697.0436678991736,5.0,12042.23,not churned
1,2022-10-01,43,668,business,3150.4739999999997,1293.0781262282646,2.25,15752.369999999999,not churned
1,2022-11-01,44,699,business,1159.8266666666666,1255.4327242163688,4.5,3479.48,not churned
1,2022-12-01,44,729,business,3004.315,1472.5993692956683,4.0,6008.63,not churned
1,2023-01-01,44,760,business,2933.186,1206.5765233834115,4.0,14665.93,not churned
1,2023-02-01,44,791,business,2834.87,1872.1359138695034,15.0,5669.74,not churned
